Sub-category,Description,Amount ($)
Salaries and Related,Vacation Cost of Sales,"4,746"
Salaries and Related,National Insurance - Cost of Sales,"7,169"
Salaries and Related,Pension - Cost of Sales,"4,768"
Salaries and Related,Compensation Pension - Cost of Sales,"6,110"
Salaries and Related,Continuing Education Fund - Cost of Sales,"2,881"
Salaries and Related,Salary Expenses - Cost of Sales,"107,920"
Salaries and Related,Accrued Income (Obligation) - Cost of Sales,"-2,210"
Salaries and Related Total,,"131,384"
Server Maintenance Total,Server Maintenance,"285,350"
Server Maintenance Total,,"285,350"
Subcontractors,Subcontractors Cost of Sales,"37,355"
Subcontractors,Subcontractors Cost of Sales - Salaries,"485,519"
Subcontractors Total,,"522,874"
