Sub-category,Description,Amount ($)
Consulting,Consulting,"126,577"
Consulting,General Consulting,"281,886"
Consulting,Subcontractors - FINANCE,"53,600"
Consulting Total,,"462,063"
Insurances,Executive Insurance,"36,750"
Insurances,Insurances,"7,284"
Insurances Total,,"44,034"
Legal,Legal,"113,817"
Legal Total,,"113,817"
Office Maintenance and Others,Fees,"3,815"
Office Maintenance and Others,Fees - Inactive,"10,035"
Office Maintenance and Others,Maintenance,767
Office Maintenance and Others,Company Event,"9,951"
Office Maintenance and Others,Meals / Snacks,"66,441"
Office Maintenance and Others,USERWAY Internal Screening Tests Expenses,"2,493"
Office Maintenance and Others,Office Expenses,"21,566"
Office Maintenance and Others,Travel Expenses - Management and General,"4,227"
Office Maintenance and Others,Continuing Education Fund Expenses,"34,538"
Office Maintenance and Others,Adjustment Differences,0
Office Maintenance and Others,Hospitality and Gifts,"19,649"
Office Maintenance and Others Total,,"173,482"
