Certainly, here is the "Sales and Marketing Expenses" category presented in table format:

| Sub-category (תת סעיף) | Description (שם חשבון) | Amount ($) |
|------------------------|-----------------------|------------|
| Travel                 | Flight Alona Z Germany 19-22.9.23 (הוצ טיסה ALONA Z GERMANY 19-22.9.23) | 202        |
| Travel                 | Flight Matt T. Toronto 25-30.6.23 (הוצ טיסה MATT T. TORONTO 25-30.6.23) | 4,178      |
| Travel                 | Flight Adam A. - Warsaw 9-13.1.23 (הוצ טיסה אדם א. - וורשה 9-13.1.23) | 1,360      |
| Travel                 | Flight Uri S. Brazil 30.4-4.5.23 (הוצ טיסה אורי ש. BRAZIL 30.4-4.5.23) | 6,208      |
| Travel                 | Flight Uri S. London 5-9.6.23 (הוצ טיסה אורי ש. LONDON 5-9.6.23) | 2,224      |
| Travel                 | Flight Uri S. Warsaw 9-13.7.23 (הוצ טיסה אורי ש. WARSAW 9-13.7.23) | 1,152      |
| Travel                 | Flight Oshri Germany 19-22.9.23 (הוצ טיסה אושרי GERMANY 19-22.9.23) | 1,079      |
| Travel                 | Flight Oshri B. Toronto 24-30.6.23 (הוצ טיסה אושרי ב. TORONTO 24-30.6.23) | 7,144      |
| Travel                 | Flight Alon S. Warsaw 10-13.7.23 (הוצ טיסה אלון ס. WARSAW 10-13.7.23) | 1,060      |
| Travel                 | Flight Brigit Sander Brazil 29.4-4.5.23 (הוצ טיסה בריגיט סנדר BRAZIL 29.4-4.5.23) | 3,495      |
| Travel                 | Flight Germy Germany 19-21.9.23 (הוצ טיסה גרמי GERMANY 19-21.9.23) | 310        |
| Travel                 | Flight Germy B. USA 26-29.3.23 (הוצ טיסה גרמי ב. 26-29.3.23 USA) | 3,374      |
| Travel                 | Flight Germy B. England 18-20.7.23 (הוצ טיסה גרמי ב. ENGLAND 18-20.7.23) | 1,594      |
| Travel                 | Flight Germy B. Toronto 25-30.6.23 (הוצ טיסה גרמי ב. TORONTO 25-30.6.23) | 2,806      |
| Travel                 | Flight Germy B. USA 1-5.7.23 (הוצ טיסה גרמי ב. USA 1-5.7.23) | 965        |
| Travel                 | Flight Germy Bandler US 29.1-2.2.23 (הוצ טיסה גרמי בנדלר 29.1-2.2.23 US) | 5,434      |
| Travel                 | Flight David Katz Canada 26-29.6.23 (הוצ טיסה דוד כץ 26-29.6.23 CANADA) | 4,850      |
| Travel                 | Flight Javier - Warsaw 9-13.1.23 (הוצ טיסה חבייר - וורשה 9-13.1.23) | 1,343      |
| Travel                 | Flight Chen N. Toronto 25-30.6.23 (הוצ טיסה חן נ. TORONTO 25-30.6.23) | 260        |
| Travel                 | Flight to Warsaw 9-13.1.23 (הוצ טיסה ליעד - וורשה 9-13.1.23) | 1,174      |
| Travel                 | Flight Moriel Wolfman Toronto 25-29.6.23 (הוצ טיסה מוריאל וולפמן TORONTO 25-29.6.23) | 4,094      |
| Travel                 | Flight Moran Weisel Toronto 10-13.7.23 (הוצ טיסה מורן ויזל TORONTO 10-13.7.23) | 566        |
