Code_Number,Category,SubCategory,Description,code_name,Net,Net,Net,Net,Net,Net,Net,Net,Net
,,,,,1,2,3,4,5,6,7,8,9
400.0,INCOME,INCOME,Income from Domestic Sales,הכנסות ממכירות בארץ,126034.23,12449.31,12439.0,0.0,5919.0,36505.0,4737.86,38642.270000000004,17922.16
401.0,INCOME,INCOME,Export Income,הכנסות מיצוא,-1975994.69,14400.12,2038887.7,11198.78,12523.19,3948617.24,0.0,9660.0,0.0
500.0,Expenses,COST OF GOODS SOLD,Cost of Goods Sold,עלות המכירות,-117584.84,-76727.48,-83823.98,-82236.08,-95703.36,-109775.54000000001,-63092.71,-89783.37,-97369.85
502.0,Expenses,COST OF GOODS SOLD,Purchases,קניות,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600.0,Expenses,OPERATING COSTS,Wages,"שכר עבודה הנה""כ",87416.01,-73160.14,-193929.75,-74981.82,-80967.79000000001,-173324.02,-81037.03,-80225.64,-80032.25
601.0,Expenses,OPERATING COSTS,Administrative and General Expenses,הוצאות הנהלה וכלליות,-183934.94,-130511.92,-151445.0,-166364.59,-128655.68000000001,-180557.88999999998,-123432.23,-106285.55,-168138.2
604.0,Expenses,OPERATING COSTS,Depreciation,פחת,0.0,0.0,0.0,0.0,0.0,-12822.0,0.0,0.0,0.0
620.0,Expenses,OPERATING COSTS,Development Expenses,הוצאות שיווק,-67027.26,-72968.12,-96358.59,-100930.1,-92749.49,-119075.06,-192434.67,-107224.29000000001,-113799.06
621.0,Expenses,OPERATING COSTS,Development Expenses,הוצאות שכר שיווק ומכירה,-257398.11,-252064.15000000002,-286292.14999999997,-285154.36,-289060.63,-350793.58999999997,-320666.8,-323336.78,-379302.66000000003
630.0,Expenses,OPERATING COSTS,Marketing Expenses,הוצאות מחקר ופיתוח,-228060.93,-195948.82,-207661.07,-206901.37,-247459.09999999998,-263083.87,-236918.32,-255826.4,-217927.23
631.0,Expenses,OPERATING COSTS,Marketing expenses,הוצאות שכר מחקר ופיתוח,-26933.5,-19489.17,-21407.920000000002,-21743.0,-23651.79,-22774.59,-25364.170000000002,-21372.74,-9405.17
640.0,Expenses,OPERATING COSTS,Depreciation - S&M,הוצאות עלות המכר,0.0,0.0,0.0,0.0,0.0,336780.0,0.0,0.0,0.0
